X,Y
19.9034,0.000482765
19.903,0.00048798
19.9027,0.000493194
19.9023,0.000487837
19.902,0.000489358
19.9016,0.000491215
19.9012,0.000492904
19.9009,0.000494591
19.9005,0.000496278
19.9001,0.000505011
19.8998,0.000499651
19.8994,0.000501336
19.8991,0.000520469
19.8987,0.000504705
19.8983,0.000506389
19.898,0.000515118
19.8976,0.000520324
19.8973,0.000511436
19.8969,0.000513117
19.8965,0.000514798
19.8962,0.000516478
19.8958,0.000518157
19.8955,0.000519836
19.8951,0.000521514
19.8947,0.000523191
19.8944,0.000524868
19.894,0.000526545
19.8936,0.000528221
19.8933,0.000529896
19.8929,0.00053157
19.8926,0.000533244
19.8922,0.000538441
19.8918,0.000540113
19.8915,0.000538261
19.8911,0.000539933
19.8908,0.000541605
19.8904,0.000543274
19.89,0.000548467
19.8897,0.000553659
19.8893,0.000548282
19.889,0.000553473
19.8886,0.000555139
19.8882,0.000553283
19.8879,0.000554949
19.8875,0.000556614
19.8872,0.000561802
19.8868,0.000559944
19.8864,0.000561607
19.8861,0.00056327
19.8857,0.000564932
19.8854,0.000566594
19.885,0.000578824
19.8846,0.000569915
19.8843,0.000571575
19.8839,0.000573234
19.8836,0.000574893
19.8832,0.000576551
19.8828,0.000578208
19.8825,0.000583387
19.8821,0.000581521
19.8818,0.000583177
19.8814,0.000584832
19.881,0.000590008
19.8807,0.000595185
19.8803,0.000596838
19.8799,0.000591445
19.8796,0.000593097
19.8792,0.000594748
19.8789,0.000596398
19.8785,0.000601571
19.8781,0.000599697
19.8778,0.000601347
19.8774,0.000602994
19.8771,0.000604641
19.8767,0.000606288
19.8763,0.000607934
19.876,0.000609579
19.8756,0.000611224
19.8753,0.000612869
19.8749,0.000614512
19.8746,0.000615991
19.8742,0.000617798
19.8738,0.00061944
19.8735,0.000621081
19.8731,0.000622722
19.8727,0.000631407
19.8724,0.000633046
19.872,0.000627639
19.8717,0.000629277
19.8713,0.000630913
19.8709,0.000632551
19.8706,0.000634187
19.8702,0.000635822
19.8699,0.000637457
19.8695,0.000639091
19.8691,0.000644249
19.8688,0.000642195
19.8684,0.000643991
19.8681,0.000645623
19.8677,0.000650775
19.8673,0.000648883
19.867,0.000650513
19.8666,0.000652141
19.8662,0.000653771
19.8659,0.000655399
19.8655,0.000660547
19.8652,0.000658652
19.8648,0.000660278
19.8644,0.000661902
19.8641,0.000663527
19.8637,0.000668674
19.8634,0.000670296
19.863,0.000671919
19.8626,0.000680586
19.8623,0.00067164
19.862,0.0006731
19.8616,0.000674881
19.8612,0.000676501
19.8608,0.000681643
19.8605,0.000679737
19.8601,0.000681354
19.8598,0.000682972
19.8594,0.000684587
19.859,0.000686204
19.8587,0.000694863
19.8583,0.000689433
19.858,0.000691046
19.8576,0.000692659
19.8572,0.000694272
19.8569,0.000695883
19.8565,0.000697494
19.8562,0.000699105
19.8558,0.000700714
19.8554,0.000702323
19.8551,0.000703933
19.8547,0.000705537
19.8543,0.000710668
19.854,0.000708752
19.8536,0.000710358
19.8533,0.000719008
19.8529,0.000713568
19.8525,0.000715171
19.8522,0.000716774
19.8518,0.000718377
19.8515,0.000719979
19.8511,0.000721581
19.8507,0.000726703
19.8504,0.000724779
19.85,0.000726379
19.8497,0.000727978
19.8493,0.000729575
19.8489,0.000731173
19.8486,0.000743336
19.8482,0.000734365
19.8479,0.000735959
19.8475,0.000741078
19.8472,0.000738989
19.8468,0.000740742
19.8464,0.000742334
19.8461,0.000743926
19.8457,0.00074904
19.8453,0.000754152
19.845,0.000748698
19.8446,0.000750286
19.8443,0.000751875
19.8439,0.000760507
19.8435,0.000783067
19.8432,0.000756638
19.8428,0.000761745
19.8425,0.000759807
19.8421,0.000761392
19.8417,0.000762977
19.8414,0.000782013
19.841,0.000766142
19.8406,0.000767724
19.8403,0.000769305
19.84,0.000770728
19.8396,0.000772465
19.8392,0.000777568
19.8388,0.000775623
19.8385,0.0007772
19.8381,0.000778776
19.8378,0.000804851
19.8374,0.000788973
19.837,0.000790548
19.8367,0.000792122
19.8364,0.000793541
19.836,0.000798792
19.8356,0.000789797
19.8352,0.00079137
19.8349,0.000792941
19.8345,0.00079451
19.8342,0.000796081
19.8338,0.00079765
19.8335,0.00079906
19.8331,0.000804306
19.8327,0.000802352
19.8324,0.000803919
19.832,0.000815893
19.8317,0.000824501
19.8313,0.000808614
19.8309,0.000810176
19.8306,0.000811739
19.8302,0.000820345
19.8298,0.000814863
19.8295,0.000816423
19.8291,0.000817982
19.8288,0.000819543
19.8284,0.000824467
19.828,0.000822659
19.8277,0.000824216
19.8273,0.000825773
19.8269,0.000827328
19.8266,0.000828884
19.8262,0.00083396
19.8259,0.000831993
19.8255,0.000833546
19.8251,0.000835099
19.8248,0.000836649
19.8244,0.000838198
19.8241,0.000857203
19.8237,0.000841299
19.8233,0.000842849
19.823,0.000844398
19.8226,0.000845946
19.8223,0.000847492
19.8219,0.000852558
19.8215,0.000850584
19.8212,0.000852128
19.8208,0.000853671
19.8205,0.000858737
19.8201,0.000856758
19.8197,0.000858301
19.8194,0.000859843
19.819,0.000861382
19.8187,0.000862922
19.8183,0.00086446
19.8179,0.000865999
19.8176,0.000867536
19.8172,0.000869074
19.8169,0.000870608
19.8165,0.000872145
19.8161,0.000877199
19.8158,0.000882259
19.8154,0.00088379
19.8151,0.000878282
19.8147,0.000879813
19.8143,0.000881345
19.814,0.000882874
19.8136,0.000887925
19.8132,0.000892978
19.8129,0.000887463
19.8125,0.000892512
19.8122,0.000901081
19.8118,0.000892042
19.8114,0.000897092
19.8111,0.000895095
19.8107,0.000896618
19.8104,0.000898141
19.81,0.000899664
19.8096,0.000901186
19.8093,0.000902708
